OrdreOrig;Stimulus;Sequence;Liste tournante 5;Liste tournante 4
151;Adrien_pi-4bands-fc-128-NoiseCarrier.wav;Adrien_pi;1;4
152;Adrien_pi-8bands-fc-128-NoiseCarrier.wav;Adrien_pi;2;1
153;Adrien_pi-12bands-fc-128-NoiseCarrier.wav;Adrien_pi;3;3
154;Adrien_pi-16bands-fc-128-NoiseCarrier.wav;Adrien_pi;4;4
155;Adrien_pi-22bands-fc-128-NoiseCarrier.wav;Adrien_pi;5;1
156;Adrien_pe1-4bands-fc-128-NoiseCarrier.wav;Adrien_pe1;2;2
157;Adrien_pe1-8bands-fc-128-NoiseCarrier.wav;Adrien_pe1;3;4
158;Adrien_pe1-12bands-fc-128-NoiseCarrier.wav;Adrien_pe1;4;1
159;Adrien_pe1-16bands-fc-128-NoiseCarrier.wav;Adrien_pe1;5;2
160;Adrien_pe1-22bands-fc-128-NoiseCarrier.wav;Adrien_pe1;1;3
161;Adrien_pa-4bands-fc-128-NoiseCarrier.wav;Adrien_pa;3;1
162;Adrien_pa-8bands-fc-128-NoiseCarrier.wav;Adrien_pa;4;2
163;Adrien_pa-12bands-fc-128-NoiseCarrier.wav;Adrien_pa;5;3
164;Adrien_pa-16bands-fc-128-NoiseCarrier.wav;Adrien_pa;1;4
165;Adrien_pa-22bands-fc-128-NoiseCarrier.wav;Adrien_pa;2;2
166;Adrien_py-4bands-fc-128-NoiseCarrier.wav;Adrien_py;4;3
167;Adrien_py-8bands-fc-128-NoiseCarrier.wav;Adrien_py;5;4
168;Adrien_py-12bands-fc-128-NoiseCarrier.wav;Adrien_py;1;1
169;Adrien_py-16bands-fc-128-NoiseCarrier.wav;Adrien_py;2;3
170;Adrien_py-22bands-fc-128-NoiseCarrier.wav;Adrien_py;3;4
171;Adrien_p2-4bands-fc-128-NoiseCarrier.wav;Adrien_p2;5;1
172;Adrien_p2-8bands-fc-128-NoiseCarrier.wav;Adrien_p2;1;2
173;Adrien_p2-12bands-fc-128-NoiseCarrier.wav;Adrien_p2;2;4
174;Adrien_p2-16bands-fc-128-NoiseCarrier.wav;Adrien_p2;3;1
175;Adrien_p2-22bands-fc-128-NoiseCarrier.wav;Adrien_p2;4;2
176;Adrien_pu-4bands-fc-128-NoiseCarrier.wav;Adrien_pu;1;3
177;Adrien_pu-8bands-fc-128-NoiseCarrier.wav;Adrien_pu;2;1
178;Adrien_pu-12bands-fc-128-NoiseCarrier.wav;Adrien_pu;3;2
179;Adrien_pu-16bands-fc-128-NoiseCarrier.wav;Adrien_pu;4;3
180;Adrien_pu-22bands-fc-128-NoiseCarrier.wav;Adrien_pu;5;4
181;Adrien_po1-4bands-fc-128-NoiseCarrier.wav;Adrien_po1;2;2
182;Adrien_po1-8bands-fc-128-NoiseCarrier.wav;Adrien_po1;3;3
183;Adrien_po1-12bands-fc-128-NoiseCarrier.wav;Adrien_po1;4;4
184;Adrien_po1-16bands-fc-128-NoiseCarrier.wav;Adrien_po1;5;1
185;Adrien_po1-22bands-fc-128-NoiseCarrier.wav;Adrien_po1;1;3
186;Adrien_pa~-4bands-fc-128-NoiseCarrier.wav;Adrien_pa~;3;4
187;Adrien_pa~-8bands-fc-128-NoiseCarrier.wav;Adrien_pa~;4;1
188;Adrien_pa~-12bands-fc-128-NoiseCarrier.wav;Adrien_pa~;5;2
189;Adrien_pa~-16bands-fc-128-NoiseCarrier.wav;Adrien_pa~;1;4
190;Adrien_pa~-22bands-fc-128-NoiseCarrier.wav;Adrien_pa~;2;1
191;Adrien_po~-4bands-fc-128-NoiseCarrier.wav;Adrien_po~;4;2
192;Adrien_po~-8bands-fc-128-NoiseCarrier.wav;Adrien_po~;5;3
193;Adrien_po~-12bands-fc-128-NoiseCarrier.wav;Adrien_po~;1;1
194;Adrien_po~-16bands-fc-128-NoiseCarrier.wav;Adrien_po~;2;2
195;Adrien_po~-22bands-fc-128-NoiseCarrier.wav;Adrien_po~;3;3
196;Adrien_pe~-4bands-fc-128-NoiseCarrier.wav;Adrien_pe~;5;4
